config,seed,study,num_layers,dim,n_loops,steps,supervise,softmax_loss_weight,conflict_loss_weight,bce_pos_mult,bce_neg_mult,approx_params,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_rounds_solved,avg_resets,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
d1_L16,0,D1-C1,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,981,0,19,0.981,14660,14.943934760448522,94.3088607788086,998.5230712890625,0.005833588137417531,0.9970599226618901,0.17672779203190989,399.331432148
d1_L16,1,D1-C1,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,996,0,4,0.996,6121,6.145582329317269,40.98292922973633,412.489013671875,0.005683956062504522,0.9973933178021478,0.18576250708280878,414.2912035749999
d1_L16,2,D1-C1,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,995,0,5,0.995,7439,7.476381909547738,50.77487564086914,472.2170104980469,0.0098611014373529,0.9985576633731584,0.16638840860363788,382.56132807200015
d1_L16,mean,D1-C1,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,990.6666666666666,0.0,9.333333333333334,0.9906666666666667,9406.666666666666,9.52196633310451,94.3088607788086,998.5230712890625,0.007126215212424985,0.9976703012790654,0.17629290257278551,398.72798793166663
d1_L16,range,D1-C1,4,128,16,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[981, 996]","[0, 0]","[4, 19]","[0.981, 0.996]","[6121, 14660]","[6.14558, 14.9439]",94.3088607788086,998.5230712890625,"[0.00568396, 0.0098611]","[0.99706, 0.998558]","[0.166388, 0.185763]","[382.561, 414.291]"
d1_L32,0,D1-C1,4,128,32,2000,all,0.2,0.1,4.0,0.5,65536,1000,986,0,14,0.986,11922,12.09127789046653,79.67646789550781,879.6360473632812,0.010050408274841853,0.9928270265224575,0.18955522664891059,668.529939384
d1_L32,1,D1-C1,4,128,32,2000,all,0.2,0.1,4.0,0.5,65536,1000,991,0,9,0.991,8488,8.565085771947528,56.03834533691406,617.2190551757812,0.00947150868466181,0.9937199256168244,0.18838136674517694,814.0834891089999
d1_L32,2,D1-C1,4,128,32,2000,all,0.2,0.1,4.0,0.5,65536,1000,993,0,7,0.993,9429,9.49546827794562,66.65961456298828,779.2290649414062,0.00983811919068502,0.9899667374156556,0.21737607379340318,649.2357947419999
d1_L32,mean,D1-C1,4,128,32,2000,all,0.2,0.1,4.0,0.5,65536,1000,990.0,0.0,10.0,0.9899999999999999,9946.333333333334,10.05061064678656,79.67646789550781,879.6360473632812,0.00978667871672956,0.9921712298516457,0.19843755572916355,710.616407745
d1_L32,range,D1-C1,4,128,32,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[986, 993]","[0, 0]","[7, 14]","[0.986, 0.993]","[8488, 11922]","[8.56509, 12.0913]",79.67646789550781,879.6360473632812,"[0.00947151, 0.0100504]","[0.989967, 0.99372]","[0.188381, 0.217376]","[649.236, 814.083]"
d1_L2_cm,0,D1-C2,4,128,2,16000,all,0.2,0.1,4.0,0.5,65536,1000,949,0,51,0.949,26139,27.54373024236038,161.02528381347656,1642.4090576171875,0.0008168255081935823,0.998337480043704,0.15615293213456774,2217.4570403669995
d1_L2_cm,1,D1-C2,4,128,2,16000,all,0.2,0.1,4.0,0.5,65536,1000,946,0,54,0.946,26036,27.522198731501057,158.36257934570312,1653.820068359375,0.0008350043834497506,0.9987829909906442,0.15720755282257443,1503.0918399419998
d1_L2_cm,2,D1-C2,4,128,2,16000,all,0.2,0.1,4.0,0.5,65536,1000,959,0,41,0.959,21534,22.454640250260688,133.45150756835938,1318.97412109375,0.0012698723530111644,0.9994463018235127,0.14997888294868195,1344.1733437330001
d1_L2_cm,mean,D1-C2,4,128,2,16000,all,0.2,0.1,4.0,0.5,65536,1000,951.3333333333334,0.0,48.666666666666664,0.9513333333333334,24569.666666666668,25.840189741374044,161.02528381347656,1642.4090576171875,0.0009739007482181657,0.9988555909526203,0.15444645596860804,1688.2407413473331
