config,seed,study,input,effective_n_loops,eval_n_loops_flag,deduce_passes,threshold,cls_threshold,augment,n_eval,correct,wrong,timeouts,accuracy,total_calls,calls_per_solve,avg_resets,unsound_rate,conflict_precision,conflict_recall
o1_xfer_Lt4_Le2,0,O1-transfer,d1_L4,2,2,1,0.1,0.6,True,87,30,0,57,0.3448275862068966,8300,276.6666666666667,6301.367816091954,0.004103985696564726,0.995338526522271,0.1673940576829507
o1_xfer_Lt4_Le2,1,O1-transfer,d1_L4,2,2,1,0.1,0.6,True,97,40,0,57,0.41237113402061853,8758,218.95,5585.515463917526,0.00604246633960767,0.9947048473424641,0.15806101721540192
o1_xfer_Lt4_Le2,mean,O1-transfer,d1_L4,2,2,1,0.1,0.6,True,87,35.0,0.0,57.0,0.37859936011375755,8529.0,247.80833333333334,5943.44164000474,0.005073226018086198,0.9950216869323676,0.1627275374491763
o1_xfer_Lt4_Le2,range,O1-transfer,d1_L4,2,2,1,0.1,0.6,True,87,"[30, 40]","[0, 0]","[57, 57]","[0.344828, 0.412371]","[8300, 8758]","[218.95, 276.667]","[5585.52, 6301.37]","[0.00410399, 0.00604247]","[0.994705, 0.995339]","[0.158061, 0.167394]"
o1_xfer_Lt4_Le4,0,O1-transfer,d1_L4,4,4,1,0.1,0.6,True,200,190,0,10,0.95,6227,32.77368421052632,2037.1,0.007147230298984682,0.9973392038624302,0.17684618873927874
o1_xfer_Lt4_Le4,1,O1-transfer,d1_L4,4,4,1,0.1,0.6,True,200,183,2,15,0.915,6458,35.2896174863388,2119.75,0.010147642331639688,0.9971389040922128,0.16958135684900258
o1_xfer_Lt4_Le4,mean,O1-transfer,d1_L4,4,4,1,0.1,0.6,True,200,186.5,1.0,12.5,0.9325,6342.5,34.03165084843256,2078.425,0.008647436315312184,0.9972390539773215,0.17321377279414066
o1_xfer_Lt4_Le4,range,O1-transfer,d1_L4,4,4,1,0.1,0.6,True,200,"[183, 190]","[0, 2]","[10, 15]","[0.915, 0.95]","[6227, 6458]","[32.7737, 35.2896]","[2037.1, 2119.75]","[0.00714723, 0.0101476]","[0.997139, 0.997339]","[0.169581, 0.176846]"
o1_xfer_Lt4_Le8,0,O1-transfer,d1_L4,8,8,1,0.1,0.6,True,200,200,0,0,1.0,918,4.59,298.075,0.010225582912914123,0.9976323684423903,0.17157622883152235
o1_xfer_Lt4_Le8,1,O1-transfer,d1_L4,8,8,1,0.1,0.6,True,200,200,0,0,1.0,1356,6.78,424.155,0.01030820271201828,0.9978792314519196,0.1713554531635949
o1_xfer_Lt4_Le8,mean,O1-transfer,d1_L4,8,8,1,0.1,0.6,True,200,200.0,0.0,0.0,1.0,1137.0,5.6850000000000005,361.115,0.010266892812466202,0.9977557999471549,0.17146584099755863
o1_xfer_Lt4_Le8,range,O1-transfer,d1_L4,8,8,1,0.1,0.6,True,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[918, 1356]","[4.59, 6.78]","[298.075, 424.155]","[0.0102256, 0.0103082]","[0.997632, 0.997879]","[0.171355, 0.171576]"
o1_xfer_Lt4_Le16,0,O1-transfer,d1_L4,16,16,1,0.1,0.6,True,200,200,0,0,1.0,868,4.34,219.375,0.01753455261151171,0.9977750896444464,0.1889789873334861
o1_xfer_Lt4_Le16,1,O1-transfer,d1_L4,16,16,1,0.1,0.6,True,200,200,0,0,1.0,641,3.205,194.925,0.010996572325300023,0.9981079221545115,0.16868705745551196
o1_xfer_Lt4_Le16,mean,O1-transfer,d1_L4,16,16,1,0.1,0.6,True,200,200.0,0.0,0.0,1.0,754.5,3.7725,207.15,0.014265562468405867,0.9979415058994789,0.17883302239449902
o1_xfer_Lt4_Le16,range,O1-transfer,d1_L4,16,16,1,0.1,0.6,True,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[641, 868]","[3.205, 4.34]","[194.925, 219.375]","[0.0109966, 0.0175346]","[0.997775, 0.998108]","[0.168687, 0.188979]"
o1_xfer_Lt4_Le32,0,O1-transfer,d1_L4,32,32,1,0.1,0.6,True,200,198,0,2,0.99,1150,5.808080808080808,289.495,0.033447952110437454,0.9952622728154712,0.2329183380004541
o1_xfer_Lt4_Le32,1,O1-transfer,d1_L4,32,32,1,0.1,0.6,True,200,200,0,0,1.0,451,2.255,124.325,0.011223355619863476,0.9983061055484453,0.16483933122008826
o1_xfer_Lt4_Le32,mean,O1-transfer,d1_L4,32,32,1,0.1,0.6,True,200,199.0,0.0,1.0,0.995,800.5,4.031540404040404,206.91,0.022335653865150466,0.9967841891819582,0.19887883461027117
o1_xfer_Lt4_Le32,range,O1-transfer,d1_L4,32,32,1,0.1,0.6,True,200,"[198, 200]","[0, 0]","[0, 2]","[0.99, 1]","[451, 1150]","[2.255, 5.80808]","[124.325, 289.495]","[0.0112234, 0.033448]","[0.995262, 0.998306]","[0.164839, 0.232918]"
o1_xfer_Lt8_Le1,0,O1-transfer,d1_L8,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,6417.946428571428,0.0025637032055149172,0.9927686036643898,0.11739646138534049
o1_xfer_Lt8_Le1,1,O1-transfer,d1_L8,1,1,1,0.1,0.6,True,56,0,0,56,0.0,7000,,6314.071428571428,0.004109175344022254,0.9970870052151091,0.11579556199889708
o1_xfer_Lt8_Le1,mean,O1-transfer,d1_L8,1,1,1,0.1,0.6,True,56,0.0,0.0,56.0,0.0,7000.0,,6366.008928571428,0.0033364392747685856,0.9949278044397494,0.11659601169211878
o1_xfer_Lt8_Le1,range,O1-transfer,d1_L8,1,1,1,0.1,0.6,True,56,"[0, 0]","[0, 0]","[56, 56]","[0, 0]","[7000, 7000]",,"[6314.07, 6417.95]","[0.0025637, 0.00410918]","[0.992769, 0.997087]","[0.115796, 0.117396]"
o1_xfer_Lt8_Le2,0,O1-transfer,d1_L8,2,2,1,0.1,0.6,True,67,10,0,57,0.14925373134328357,8152,815.2,6850.417910447762,0.002934048354826988,0.9966846736952165,0.14411180272508434
o1_xfer_Lt8_Le2,1,O1-transfer,d1_L8,2,2,1,0.1,0.6,True,73,16,0,57,0.2191780821917808,8087,505.4375,6181.821917808219,0.005782001777074665,0.99657743633367,0.1380195086691902
o1_xfer_Lt8_Le2,mean,O1-transfer,d1_L8,2,2,1,0.1,0.6,True,67,13.0,0.0,57.0,0.1842159067675322,8119.5,660.31875,6516.11991412799,0.004358025065950826,0.9966310550144433,0.14106565569713725
o1_xfer_Lt8_Le2,range,O1-transfer,d1_L8,2,2,1,0.1,0.6,True,67,"[10, 16]","[0, 0]","[57, 57]","[0.149254, 0.219178]","[8087, 8152]","[505.438, 815.2]","[6181.82, 6850.42]","[0.00293405, 0.005782]","[0.996577, 0.996685]","[0.13802, 0.144112]"
o1_xfer_Lt8_Le4,0,O1-transfer,d1_L8,4,4,1,0.1,0.6,True,125,71,0,54,0.568,9021,127.05633802816901,4598.144,0.0038822817375244573,0.9969294076554541,0.16464901603836374
o1_xfer_Lt8_Le4,1,O1-transfer,d1_L8,4,4,1,0.1,0.6,True,200,164,0,36,0.82,10009,61.03048780487805,3246.175,0.007441352794921434,0.9973510544309147,0.1687348415724992
o1_xfer_Lt8_Le4,mean,O1-transfer,d1_L8,4,4,1,0.1,0.6,True,125,117.5,0.0,45.0,0.694,9515.0,94.04341291652352,3922.1595,0.005661817266222946,0.9971402310431844,0.1666919288054315
o1_xfer_Lt8_Le4,range,O1-transfer,d1_L8,4,4,1,0.1,0.6,True,125,"[71, 164]","[0, 0]","[36, 54]","[0.568, 0.82]","[9021, 10009]","[61.0305, 127.056]","[3246.18, 4598.14]","[0.00388228, 0.00744135]","[0.996929, 0.997351]","[0.164649, 0.168735]"
o1_xfer_Lt8_Le8,0,O1-transfer,d1_L8,8,8,1,0.1,0.6,True,200,190,0,10,0.95,4156,21.873684210526317,1273.745,0.003617635954996713,0.9984525976481043,0.16396739624419276
o1_xfer_Lt8_Le8,1,O1-transfer,d1_L8,8,8,1,0.1,0.6,True,200,200,0,0,1.0,1521,7.605,497.88,0.00648966826432343,0.9972378677518603,0.1878191195909345
o1_xfer_Lt8_Le8,mean,O1-transfer,d1_L8,8,8,1,0.1,0.6,True,200,195.0,0.0,5.0,0.975,2838.5,14.739342105263159,885.8125,0.0050536521096600714,0.9978452326999823,0.17589325791756363
o1_xfer_Lt8_Le8,range,O1-transfer,d1_L8,8,8,1,0.1,0.6,True,200,"[190, 200]","[0, 0]","[0, 10]","[0.95, 1]","[1521, 4156]","[7.605, 21.8737]","[497.88, 1273.74]","[0.00361764, 0.00648967]","[0.997238, 0.998453]","[0.163967, 0.187819]"
o1_xfer_Lt8_Le16,0,O1-transfer,d1_L8,16,16,1,0.1,0.6,True,200,200,0,0,1.0,772,3.86,213.46,0.003450703697833867,0.9987442819983855,0.16141658089674268
o1_xfer_Lt8_Le16,1,O1-transfer,d1_L8,16,16,1,0.1,0.6,True,200,200,0,0,1.0,451,2.255,140.75,0.005408125531458262,0.9977293218018499,0.18912195862976935
o1_xfer_Lt8_Le16,mean,O1-transfer,d1_L8,16,16,1,0.1,0.6,True,200,200.0,0.0,0.0,1.0,611.5,3.0575,177.10500000000002,0.0044294146146460645,0.9982368019001178,0.17526926976325602
o1_xfer_Lt8_Le16,range,O1-transfer,d1_L8,16,16,1,0.1,0.6,True,200,"[200, 200]","[0, 0]","[0, 0]","[1, 1]","[451, 772]","[2.255, 3.86]","[140.75, 213.46]","[0.0034507, 0.00540813]","[0.997729, 0.998744]","[0.161417, 0.189122]"
